Munic_Dept,usaInternet1,usaInternet10,usaInternet11,usaInternet2,usaInternet3,usaInternet4,usaInternet5,usaInternet6,usaInternet7,usaInternet8,usaInternet9
Bello,35.29,75,100,70,84.21,71.43,80,75,0,45.45,62.5
Barranquilla,57.89,63.16,81.82,55,88.24,25,50,80,100,68.42,72.73
Bogotá,70.59,43.75,62.5,73.91,50,57.14,76.92,84.62,100,80,66.67
Girardot,28.85,75,50,63.33,77.78,0,0,91.67,63.64,0,71.43
Soacha,25,81.82,50,54.17,83.33,87.5,75,68.75,100,86.67,66.67
Zipaquirá,85.71,90,0,76.92,75,66.67,70,100,100,73.33,100
Neiva,22.22,64.52,62.5,36.36,100,100,93.75,100,100,94.12,100
Pereira,48,57.14,0,63.16,66.67,66.67,60,66.67,66.67,100,100
Bucaramanga,28.57,84.62,100,60,90,95.24,80,87.5,57.14,75,100
Ibagué,30.77,66.67,66.67,50,80,11.11,50,44.44,80,33.33,85.71
